4A,1,Laveta Snipes,BIO
4A,4,Dorcas Sandlin,BIO
4A,9,Jacinda Crews,BIO
4A,12,Lashaun Strain,BIO
4A,15,Debbi Farrow,BIO
4A,31,Lane Becnel,BIO
4B,2,Joe Han,BIO
4B,3,Glenn Ely,BIO
4B,8,Yevette Rosenthal,BIO
4B,9,Kacy Dent,BIO
4B,13,Angelic Morley,BIO
4B,21,Apryl Felix,BIO
4B,35,Edris Hodgson,BIO
4C,1,Ashly Calderon,BIO
4C,2,Gary Mosley,BIO
4C,4,Spring Sizemore,BIO
4C,5,Otto Forte,BIO
4C,6,Naoma Faison,BIO
4C,8,Mervin Caudill,BIO
4C,10,Lani Wu,BIO
4C,12,Halley Packer,BIO
4C,13,Holli Blocker,BIO
4C,14,Nathanial Justice,BIO
4C,15,Altha Motley,BIO
4C,17,Kourtney Ernst,BIO
4C,19,Henry Bain,BIO
4C,20,Denny Pollack,BIO
4C,21,Raphael Morse,BIO
4C,23,Dewitt Aleman,BIO
4C,24,Barabara Ferrell,BIO
4C,26,Loreen Irvine,BIO
4C,27,Shavonda Starkey,BIO
4C,29,Misti Coburn,BIO
4C,32,Cuc Wilke,BIO
4C,33,Fredia Landrum,BIO
4C,34,Katina Nielson,BIO
4C,36,Gia Cranford,BIO
4D,1,Joanie Asher,BIO
4D,2,Hilma Robb,BIO
4D,5,Jerrold Orosco,BIO
4D,7,Wes Rainey,BIO
4D,9,Theresia Beebe,BIO
4D,10,Young Ogden,BIO
4D,12,Maryrose Shuman,BIO
4D,14,Jada Avery,BIO
4D,15,Lorina Charlton,BIO
4D,17,Mila Rosas,BIO
4D,18,Stephany Richter,BIO
4D,21,Phyliss Grayson,BIO
4D,22,Marielle Frasier,BIO
4D,23,Judie Jolley,BIO
4D,24,Rhett Mcginnis,BIO
4D,25,Kia Guenther,BIO
4D,26,Christiana Baer,BIO
4D,28,Jeni Vaughan,BIO
4D,29,Dino Shank,BIO
4D,30,Chase Mclain,BIO
4D,33,Beckie Kroll,BIO
4E,2,Victorina Espino,BIO
4E,4,Piedad Spearman,BIO
4E,5,Olympia Satterfield,BIO
4E,9,Marvella Mangum,BIO
4E,11,Elane Holcombe,BIO
4E,12,Kam Cade,BIO
4E,13,Dion Dion,BIO
4E,15,Bryce Fries,BIO
4E,19,Fumiko Blaylock,BIO
4E,20,Lolita Bullard,BIO
4E,21,Elda Keeler,BIO
4E,24,Tereasa Mcnutt,BIO
4E,25,Denyse Bonner,BIO
4E,27,Yolando Ely,BIO
4E,28,Minh Nielsen,BIO
4E,29,Latrice Jarvis,BIO
4E,30,Glennie Damico,BIO
4E,31,Shantae Glass,BIO
4E,32,Brittaney Stacy,BIO
4E,34,Cassie Magee,BIO
4E,35,Alverta Crump,BIO
4E,37,Timothy Cota,BIO
5A,12,Roma Osborn,BIO
5A,14,Serita Boehm,BIO
5A,24,Nicolette Fanning,BIO
5A,26,Simona Nettles,BIO
5A,28,Micah Connelly,BIO
5B,3,Morton Washburn,BIO
5B,4,Waldo Vaughan,BIO
5B,7,Francie Gunn,BIO
5B,11,Edris Beckett,BIO
5B,12,Terrie Cowley,BIO
5B,21,Britt Osteen,BIO
5B,23,Fermin Hargis,BIO
5B,26,Deshawn Lockhart,BIO
5B,31,Albina Mccombs,BIO
5C,4,Carry Burkett,BIO
5C,9,Santos Parham,BIO
5C,13,Loria Sumpter,BIO
5C,14,Anamaria Newberry,BIO
5C,17,Les True,BIO
5C,19,Warner Stiltner,BIO
5C,22,Nathalie Urban,BIO
5C,23,Marylouise Dillon,BIO
5C,24,Boyce Guinn,BIO
5C,26,Zena Keenan,BIO
5C,29,Gale Mcgrath,BIO
5C,31,Kiersten Branham,BIO
5C,32,Emilee Springer,BIO
5C,38,Carma Aiken,BIO
5C,39,Alysia Shipp,BIO
5D,2,Madelyn Kiser,BIO
5D,3,Allyn Caskey,BIO
5D,5,Yi Rinaldi,BIO
5D,7,Jc Mize,BIO
5D,9,Glynis Mcmillian,BIO
5D,10,Phuong Boudreau,BIO
5D,14,Otilia Fallon,BIO
5D,16,Kristian Morse,BIO
5D,17,Tanika Atherton,BIO
5D,18,Margene Ely,BIO
5D,19,Gussie Mortensen,BIO
5D,22,Wilford Duffy,BIO
5D,24,Mechelle Bustamante,BIO
5D,25,Chan Word,BIO
5D,27,Sindy Osorio,BIO
5D,33,Elenora Shackelford,BIO
5D,36,Deshawn Broderick,BIO
5D,38,Elisha Hubert,BIO
5D,40,Cyril Sheppard,BIO
5E,1,Mitsue Quinonez,BIO
5E,2,Lashandra Simms,BIO
5E,5,Niesha Ridley,BIO
5E,6,Jamar Bolt,BIO
5E,10,Donte Molina,BIO
5E,14,Winnie Reeder,BIO
5E,15,Yelena Edgar,BIO
5E,17,Novella Cone,BIO
5E,18,Delphia Jean,BIO
5E,19,Veda Macdonald,BIO
5E,21,Jacqualine Driver,BIO
5E,23,Selma Esposito,BIO
5E,26,Chelsey Workman,BIO
5E,27,Tenesha Sears,BIO
5E,30,Tonja Porterfield,BIO
5E,32,Lanita Weddle,BIO
5E,33,Luvenia Whitaker,BIO
5E,35,Samual Fain,BIO
5E,38,Loraine Mello,BIO
6A,2,Cheri Goforth,BIO
6A,3,Eric Maurer,BIO
6A,4,Mariah Troutman,BIO
6A,5,Lane Bivens,BIO
6A,8,Jaimee Hardesty,BIO
6A,12,Georgiana Meek,BIO
6A,14,Cathrine Desantis,BIO
6A,15,Angella Goad,BIO
6A,18,Trinidad Gillette,BIO
6A,19,Germaine Gorham,BIO
6A,21,Deedee Ponce,BIO
6A,24,Enda Spaulding,BIO
6A,26,Briana Lovett,BIO
6A,29,Sudie Bartlett,BIO
6A,32,Lidia Hinds,BIO
6A,33,Jerrod Mcmahan,BIO
6A,36,Arron Gant,BIO
6A,37,Charissa Spivey,BIO
6A,40,Collin Hooker,BIO
6A,42,Deandra Douglass,BIO
6B,5,Sherrie Pemberton,BIO
6B,7,Prince Doll,BIO
6B,11,Sana Canada,BIO
6B,24,Arvilla Hensley,BIO
6B,27,Cleo Diggs,BIO
6C,22,Margarito Begay,BIO
6C,25,Lidia Crawley,BIO
6C,40,Clementina Mcintire,BIO
6D,9,Caitlyn Aquino,BIO
6D,10,Stephan Pyle,BIO
6D,15,Rheba Benefield,BIO
6D,22,Tangela Nielson,BIO
6D,24,Harrison Bolt,BIO
6D,26,Moises Tolliver,BIO
6D,27,Ethelyn Sylvester,BIO
6D,28,Theo Culp,BIO
6D,35,Karyl Fishman,BIO
6D,40,Marlyn Forte,BIO
6E,8,Tessa Sigler,BIO
6E,12,Tyron Ruby,BIO
6E,14,Ivonne Mancini,BIO
6E,16,Madeleine Whitt,BIO
6E,18,Yolando Higdon,BIO
6E,21,Mari Moseley,BIO
6E,23,Andree Lowry,BIO
6E,26,Deon Gurley,BIO
6E,39,Tesha Patten,BIO
6E,40,Merrilee Blalock,BIO
4A,2,Vicenta Roller,CHEM
4A,5,Afton Aldrich,CHEM
4A,6,Lon Deleon,CHEM
4A,11,Teresia Covert,CHEM
4A,15,Debbi Farrow,CHEM
4A,22,Mathilda Markley,CHEM
4A,30,Katia Roach,CHEM
4B,2,Joe Han,CHEM
4B,20,Genny Henning,CHEM
4C,1,Ashly Calderon,CHEM
4C,2,Gary Mosley,CHEM
4C,4,Spring Sizemore,CHEM
4C,5,Otto Forte,CHEM
4C,6,Naoma Faison,CHEM
4C,8,Mervin Caudill,CHEM
4C,17,Kourtney Ernst,CHEM
4C,18,Lane Belton,CHEM
4C,19,Henry Bain,CHEM
4C,21,Raphael Morse,CHEM
4C,23,Dewitt Aleman,CHEM
4C,24,Barabara Ferrell,CHEM
4C,28,Britt Cheng,CHEM
4C,32,Cuc Wilke,CHEM
4C,33,Fredia Landrum,CHEM
4C,34,Katina Nielson,CHEM
4D,1,Joanie Asher,CHEM
4D,2,Hilma Robb,CHEM
4D,3,Meridith Gruber,CHEM
4D,4,Earle Dortch,CHEM
4D,5,Jerrold Orosco,CHEM
