Seat no.,Form,Class,Class no.,Name
1,4,A,3,Damion Napier
2,4,A,6,Lon Deleon
3,4,A,8,Domitila Jay
4,4,A,9,Jacinda Crews
5,4,A,13,Jenae Spangler
6,4,A,16,Tama Weed
7,4,A,17,Lesia Velez
8,4,A,19,Hermina Dupre
9,4,A,20,Reba Townes
10,4,A,21,Sean Barclay
11,4,A,22,Mathilda Markley
12,4,A,33,Lolita Costa
13,4,A,34,Stacy Alicea
14,4,A,35,Dayna Casper
15,4,B,1,Rosamaria Earle
16,4,B,11,Enoch Ngo
17,4,B,14,Daysi Peachey
18,4,B,17,Buster Mccaffrey
19,4,B,23,Pearle Luther
20,4,B,25,Pia Oconner
21,4,B,26,Vada Pogue
22,4,B,30,Lashawna Foote
23,4,B,32,Shirely Whitley
24,4,C,3,Latoyia Broderick
25,4,C,5,Otto Forte
26,4,C,6,Naoma Faison
27,4,C,10,Lani Wu
28,4,C,11,Lesha Fairley
29,4,C,12,Halley Packer
30,4,C,13,Holli Blocker
31,4,C,19,Henry Bain
32,4,C,27,Shavonda Starkey
33,4,C,28,Britt Cheng
34,4,D,6,Adrien Elmore
35,4,D,7,Wes Rainey
36,4,D,12,Maryrose Shuman
37,4,D,19,Nam Billiot
38,4,D,21,Phyliss Grayson
39,4,D,23,Judie Jolley
40,4,D,25,Kia Guenther
41,4,D,27,Reid Rodrigues
42,4,D,29,Dino Shank
43,4,D,31,Janel Kay
44,4,D,32,Tiffani Kidd
45,4,D,34,Deandra Ponce
46,4,D,35,Alex Ricketts
47,4,E,7,Chantell Pulido
48,4,E,11,Elane Holcombe
49,4,E,13,Dion Dion
50,4,E,15,Bryce Fries
51,4,E,17,Abdul Hannon
52,4,E,18,Soledad Colson
53,4,E,19,Fumiko Blaylock
54,4,E,25,Denyse Bonner
55,4,E,26,Patrice Boynton
56,4,E,27,Yolando Ely
57,4,E,28,Minh Nielsen
58,4,E,31,Shantae Glass
59,4,E,33,Sydney Rawls
60,4,E,37,Timothy Cota
