Seat no.,Form,Class,Class no.,Name
1,4,A,1,Laveta Snipes
2,4,A,4,Dorcas Sandlin
3,4,A,9,Jacinda Crews
4,4,A,12,Lashaun Strain
5,4,A,15,Debbi Farrow
6,4,A,31,Lane Becnel
7,4,B,2,Joe Han
8,4,B,3,Glenn Ely
9,4,B,8,Yevette Rosenthal
10,4,B,9,Kacy Dent
11,4,B,13,Angelic Morley
12,4,B,21,Apryl Felix
13,4,B,35,Edris Hodgson
14,4,C,1,Ashly Calderon
15,4,C,2,Gary Mosley
16,4,C,4,Spring Sizemore
17,4,C,5,Otto Forte
18,4,C,6,Naoma Faison
19,4,C,8,Mervin Caudill
20,4,C,10,Lani Wu
21,4,C,12,Halley Packer
22,4,C,13,Holli Blocker
23,4,C,14,Nathanial Justice
24,4,C,15,Altha Motley
25,4,C,17,Kourtney Ernst
26,4,C,19,Henry Bain
27,4,C,20,Denny Pollack
28,4,C,21,Raphael Morse
29,4,C,23,Dewitt Aleman
30,4,C,24,Barabara Ferrell
31,4,C,26,Loreen Irvine
32,4,C,27,Shavonda Starkey
33,4,C,29,Misti Coburn
34,4,C,32,Cuc Wilke
35,4,C,33,Fredia Landrum
36,4,C,34,Katina Nielson
37,4,C,36,Gia Cranford
38,4,D,1,Joanie Asher
39,4,D,2,Hilma Robb
40,4,D,5,Jerrold Orosco
41,4,D,7,Wes Rainey
42,4,D,9,Theresia Beebe
43,4,D,10,Young Ogden
44,4,D,12,Maryrose Shuman
45,4,D,14,Jada Avery
46,4,D,15,Lorina Charlton
47,4,D,17,Mila Rosas
48,4,D,18,Stephany Richter
49,4,D,21,Phyliss Grayson
50,4,D,22,Marielle Frasier
51,4,D,23,Judie Jolley
52,4,D,24,Rhett Mcginnis
53,4,D,25,Kia Guenther
54,4,D,26,Christiana Baer
55,4,D,28,Jeni Vaughan
56,4,D,29,Dino Shank
57,4,D,30,Chase Mclain
58,4,D,33,Beckie Kroll
59,4,E,2,Victorina Espino
60,4,E,4,Piedad Spearman
61,4,E,5,Olympia Satterfield
62,4,E,9,Marvella Mangum
63,4,E,11,Elane Holcombe
64,4,E,12,Kam Cade
65,4,E,13,Dion Dion
66,4,E,15,Bryce Fries
67,4,E,19,Fumiko Blaylock
68,4,E,20,Lolita Bullard
69,4,E,21,Elda Keeler
70,4,E,24,Tereasa Mcnutt
71,4,E,25,Denyse Bonner
72,4,E,27,Yolando Ely
73,4,E,28,Minh Nielsen
74,4,E,29,Latrice Jarvis
75,4,E,30,Glennie Damico
76,4,E,31,Shantae Glass
77,4,E,32,Brittaney Stacy
78,4,E,34,Cassie Magee
79,4,E,35,Alverta Crump
80,4,E,37,Timothy Cota
