Seat no.,Form,Class,Class no.,Name
1,4,A,2,Vicenta Roller
2,4,A,5,Afton Aldrich
3,4,A,6,Lon Deleon
4,4,A,11,Teresia Covert
5,4,A,15,Debbi Farrow
6,4,A,22,Mathilda Markley
7,4,A,30,Katia Roach
8,4,B,2,Joe Han
9,4,B,20,Genny Henning
10,4,C,1,Ashly Calderon
11,4,C,2,Gary Mosley
12,4,C,4,Spring Sizemore
13,4,C,5,Otto Forte
14,4,C,6,Naoma Faison
15,4,C,8,Mervin Caudill
16,4,C,17,Kourtney Ernst
17,4,C,18,Lane Belton
18,4,C,19,Henry Bain
19,4,C,21,Raphael Morse
20,4,C,23,Dewitt Aleman
21,4,C,24,Barabara Ferrell
22,4,C,28,Britt Cheng
23,4,C,32,Cuc Wilke
24,4,C,33,Fredia Landrum
25,4,C,34,Katina Nielson
26,4,D,1,Joanie Asher
27,4,D,2,Hilma Robb
28,4,D,3,Meridith Gruber
29,4,D,4,Earle Dortch
30,4,D,5,Jerrold Orosco
31,4,D,6,Adrien Elmore
32,4,D,7,Wes Rainey
33,4,D,8,Na Alley
34,4,D,9,Theresia Beebe
35,4,D,10,Young Ogden
36,4,D,11,Damian Spears
37,4,D,13,Vella Spear
38,4,D,14,Jada Avery
39,4,D,15,Lorina Charlton
40,4,D,16,Troy Pulley
41,4,D,17,Mila Rosas
42,4,D,18,Stephany Richter
43,4,D,19,Nam Billiot
44,4,D,20,Mikki Busch
45,4,D,22,Marielle Frasier
46,4,D,23,Judie Jolley
47,4,D,28,Jeni Vaughan
48,4,D,29,Dino Shank
49,4,D,30,Chase Mclain
50,4,D,31,Janel Kay
51,4,D,33,Beckie Kroll
52,4,D,34,Deandra Ponce
53,4,D,36,Margery Vickery
54,4,E,1,Kory Hobbs
55,4,E,2,Victorina Espino
56,4,E,3,Steffanie Regalado
57,4,E,4,Piedad Spearman
58,4,E,5,Olympia Satterfield
59,4,E,6,Ariane Riggins
60,4,E,7,Chantell Pulido
61,4,E,10,Nieves Weed
62,4,E,12,Kam Cade
63,4,E,13,Dion Dion
64,4,E,14,Mauro Fitzsimmons
65,4,E,15,Bryce Fries
66,4,E,16,Magali Cromer
67,4,E,18,Soledad Colson
68,4,E,19,Fumiko Blaylock
69,4,E,20,Lolita Bullard
70,4,E,21,Elda Keeler
71,4,E,22,Jenice Ledbetter
72,4,E,23,Jacqui Maestas
73,4,E,24,Tereasa Mcnutt
74,4,E,25,Denyse Bonner
75,4,E,27,Yolando Ely
76,4,E,28,Minh Nielsen
77,4,E,29,Latrice Jarvis
78,4,E,31,Shantae Glass
79,4,E,32,Brittaney Stacy
80,4,E,34,Cassie Magee
81,4,E,36,Estefana Abrams
