Seat no.,Form,Class,Class no.,Name
1,4,A,24,Lashon Lundberg
2,4,B,4,Morton Rinehart
3,4,B,10,Willia Spivey
4,4,B,12,Allyson Stoddard
5,4,B,27,Cori Mabe
6,4,B,28,Lera Rowan
7,4,B,31,Teodora Halstead
8,4,B,34,Jewel Domingo
9,4,C,3,Latoyia Broderick
10,4,C,7,Fredia Mattingly
11,4,C,9,Mackenzie Cardwell
12,4,C,11,Lesha Fairley
13,4,C,18,Lane Belton
14,4,C,22,Dominque Harder
15,4,C,25,Chante Barlow
16,4,C,31,Jazmin Shannon
17,4,C,33,Fredia Landrum
18,4,D,4,Earle Dortch
19,4,D,22,Marielle Frasier
20,4,D,28,Jeni Vaughan
21,4,D,33,Beckie Kroll
