Seat no.,Form,Class,Class no.,Name
1,4,A,4,Dorcas Sandlin
2,4,A,8,Domitila Jay
3,4,A,10,Pearly Huerta
4,4,A,13,Jenae Spangler
5,4,A,19,Hermina Dupre
6,4,A,21,Sean Barclay
7,4,A,32,Refugio Griswold
8,4,A,33,Lolita Costa
9,4,A,34,Stacy Alicea
10,4,B,1,Rosamaria Earle
11,4,B,5,Cherise Parrott
12,4,B,6,Maryjane Stauffer
13,4,B,17,Buster Mccaffrey
14,4,B,19,Theron Boykin
15,4,B,22,Dorla Weatherford
16,4,B,23,Pearle Luther
17,4,B,25,Pia Oconner
18,4,B,29,Arla Hein
19,4,B,30,Lashawna Foote
20,4,B,31,Teodora Halstead
21,4,B,32,Shirely Whitley
22,4,C,7,Fredia Mattingly
23,4,C,9,Mackenzie Cardwell
24,4,C,12,Halley Packer
25,4,C,13,Holli Blocker
26,4,C,15,Altha Motley
27,4,C,16,Eda Picard
28,4,C,17,Kourtney Ernst
29,4,C,21,Raphael Morse
30,4,C,24,Barabara Ferrell
31,4,C,27,Shavonda Starkey
32,4,D,3,Meridith Gruber
33,4,D,16,Troy Pulley
34,4,D,19,Nam Billiot
35,4,D,20,Mikki Busch
36,4,D,27,Reid Rodrigues
37,4,D,31,Janel Kay
38,4,D,32,Tiffani Kidd
39,4,E,1,Kory Hobbs
40,4,E,8,Laurinda Nagel
41,4,E,14,Mauro Fitzsimmons
42,4,E,16,Magali Cromer
43,4,E,22,Jenice Ledbetter
44,4,E,30,Glennie Damico
45,4,E,33,Sydney Rawls
