Seat no.,Form,Class,Class no.,Name
1,4,A,11,Teresia Covert
2,4,A,14,Grover Ogden
3,4,A,18,Pasquale Mares
4,4,A,29,Charla Mccallister
5,4,B,5,Cherise Parrott
6,4,B,15,Audrea Nixon
7,4,B,24,Roxana Locklear
8,4,B,29,Arla Hein
9,4,B,33,Alex Hartley
10,4,C,4,Spring Sizemore
11,4,C,8,Mervin Caudill
12,4,C,15,Altha Motley
13,4,C,16,Eda Picard
14,4,C,28,Britt Cheng
15,4,C,30,Tereasa Barney
16,4,C,35,Claudine Cote
17,4,D,11,Damian Spears
18,4,D,32,Tiffani Kidd
19,4,D,35,Alex Ricketts
20,4,E,26,Patrice Boynton
21,4,E,33,Sydney Rawls
22,4,E,37,Timothy Cota
