Seat no.,Form,Class,Class no.,Name
1,5,A,5,Dotty Tirado
2,5,A,11,Rudolf Polk
3,5,A,12,Roma Osborn
4,5,A,13,Arletha Fagan
5,5,A,15,Numbers Norwood
6,5,A,19,Mari Layne
7,5,A,20,Jason Staton
8,5,A,23,Elisha Plummer
9,5,A,26,Simona Nettles
10,5,A,27,Detra Hutton
11,5,A,30,Blaine Totten
12,5,A,31,Louvenia Schafer
13,5,A,33,Codi Matlock
14,5,B,2,Tad Ainsworth
15,5,B,9,Asha Venegas
16,5,B,10,Douglass Woodcock
17,5,B,13,Darleen Eaton
18,5,B,15,Viviana Wicks
19,5,B,16,Apolonia Haskell
20,5,B,17,Jonie Haight
21,5,B,18,Alyse Sprouse
22,5,B,23,Fermin Hargis
23,5,B,24,Ronald Gantt
24,5,B,25,Breanna Moeller
25,5,C,2,Tiffiny Mercier
26,5,C,5,Christal Mattox
27,5,C,7,Jamika Drummond
28,5,C,20,Marcy Mark
29,5,C,27,Krystin Whitlow
30,5,C,28,Stephane Guest
31,5,C,37,Jeraldine Frazer
32,5,C,40,Lon Latham
33,5,D,28,Harley Rizzo
34,5,D,30,Cicely Major
35,5,D,32,Floretta Ruby
36,5,E,37,Rosann Bumgarner
37,5,E,39,Guillermina Harder
