Seat no.,Form,Class,Class no.,Name
1,5,A,8,Royal Linkous
2,5,B,6,Dudley Slack
3,5,B,8,Xiao Menard
4,5,B,22,Jong Galloway
5,5,B,27,David Spicer
6,5,B,29,Winona Shifflett
7,5,C,1,Marchelle Duarte
8,5,C,6,Karren Christenson
9,5,C,11,Bong Dunbar
10,5,C,14,Anamaria Newberry
11,5,C,18,Eliseo Nadeau
12,5,C,26,Zena Keenan
13,5,C,30,Ranee Ziegler
14,5,C,33,Sharri Coble
15,5,C,35,Marquita Edmonds
16,5,C,37,Jeraldine Frazer
17,5,D,4,Mana Clemens
18,5,D,22,Wilford Duffy
19,5,D,30,Cicely Major
20,5,D,35,Kathrine Brewster
21,5,D,37,Glayds Pringle
22,5,D,38,Elisha Hubert
23,5,D,39,Lanette Prosser
24,5,E,1,Mitsue Quinonez
25,5,E,11,Takako Kerns
26,5,E,14,Winnie Reeder
27,5,E,31,Lucilla Fitts
28,5,E,33,Luvenia Whitaker
