Seat no.,Form,Class,Class no.,Name
1,5,A,2,Kathe Miner
2,5,A,7,Shayna Lapointe
3,5,A,8,Royal Linkous
4,5,A,16,Mozella Herrington
5,5,A,18,Gwyneth Hite
6,5,A,20,Jason Staton
7,5,A,24,Nicolette Fanning
8,5,B,7,Francie Gunn
9,5,B,15,Viviana Wicks
10,5,B,17,Jonie Haight
11,5,B,21,Britt Osteen
12,5,B,25,Breanna Moeller
13,5,C,2,Tiffiny Mercier
14,5,C,3,Cordia Howerton
15,5,C,5,Christal Mattox
16,5,C,6,Karren Christenson
17,5,C,8,Denisha Metcalf
18,5,C,18,Eliseo Nadeau
19,5,C,20,Marcy Mark
20,5,C,31,Kiersten Branham
21,5,C,35,Marquita Edmonds
22,5,D,3,Allyn Caskey
23,5,D,14,Otilia Fallon
24,5,D,17,Tanika Atherton
25,5,D,18,Margene Ely
26,5,D,21,Deetta Street
27,5,D,23,Marlin Willard
28,5,D,28,Harley Rizzo
29,5,D,35,Kathrine Brewster
30,5,D,36,Deshawn Broderick
31,5,D,39,Lanette Prosser
32,5,E,37,Rosann Bumgarner
33,5,E,39,Guillermina Harder
