Seat no.,Form,Class,Class no.,Name
1,5,A,9,Janean Maples
2,5,A,25,Elna Moulton
3,5,B,1,Kathlyn Smallwood
4,5,B,14,Tommy Nixon
5,5,B,19,Erlene Orr
6,5,B,20,Carmina Keene
7,5,C,9,Santos Parham
8,5,D,1,Concepcion Fagan
9,5,D,13,Antoine Low
10,5,D,15,Flossie Hurd
11,5,D,20,Marva Rhoades
12,5,D,26,Glynda March
13,5,D,27,Sindy Osorio
14,5,D,37,Glayds Pringle
15,5,E,3,Phebe Allan
16,5,E,4,Janett Lay
17,5,E,5,Niesha Ridley
18,5,E,7,Lucrecia Nielson
19,5,E,8,Rebecka Peck
20,5,E,9,Shayla Cosby
21,5,E,10,Donte Molina
22,5,E,11,Takako Kerns
23,5,E,12,Delfina Singh
24,5,E,13,Gerry Rowley
25,5,E,16,Camellia Valle
26,5,E,18,Delphia Jean
27,5,E,19,Veda Macdonald
28,5,E,20,Stacia Starling
29,5,E,21,Jacqualine Driver
30,5,E,24,Jeni Ocampo
31,5,E,25,Williams Sweet
32,5,E,26,Chelsey Workman
33,5,E,27,Tenesha Sears
34,5,E,28,Micheal Creel
35,5,E,29,Hal Muller
36,5,E,30,Tonja Porterfield
37,5,E,31,Lucilla Fitts
38,5,E,32,Lanita Weddle
39,5,E,34,Kattie Clement
40,5,E,36,Fran Callender
41,5,E,38,Loraine Mello
42,5,E,40,Madie Blackwell
