Seat no.,Form,Class,Class no.,Name
1,6,E,1,Rosalva Keen
2,6,E,2,Alesha Eddy
3,6,E,3,Efrain Walls
4,6,E,5,Ludivina Hackney
5,6,E,6,Calista Heaton
6,6,E,7,Tianna Aldridge
7,6,E,9,Valentine Stein
8,6,E,10,Tracie Mccracken
9,6,E,11,Rosena Whitfield
10,6,E,12,Tyron Ruby
11,6,E,15,Dwain Harp
12,6,E,16,Madeleine Whitt
13,6,E,19,Lyn Shipman
14,6,E,20,Hilario Marino
15,6,E,22,Katina Esquivel
16,6,E,24,Orpha Ott
17,6,E,30,Annis Hamrick
18,6,E,32,Sparkle Arthur
19,6,E,34,Elana Whitney
20,6,E,35,Freddie Lai
21,6,E,36,Delcie Shook
22,6,E,40,Merrilee Blalock
