4,A,1,Laveta Snipes,BIO,GEOG
4,A,2,Vicenta Roller,CHEM,ICT
4,A,3,Damion Napier,CHIS,BAFS
4,A,4,Dorcas Sandlin,BIO,ECON
4,A,5,Afton Aldrich,CHEM,PHY
4,A,6,Lon Deleon,CHEM,BAFS
4,A,7,Leslee Tejeda,PHY,ICT
4,A,8,Domitila Jay,BAFS,ECON
4,A,9,Jacinda Crews,BIO,BAFS
4,A,10,Pearly Huerta,ECON,GEOG
4,A,11,Teresia Covert,CHEM,VA
4,A,12,Lashaun Strain,BIO,PHY
4,A,13,Jenae Spangler,BAFS,ECON
4,A,14,Grover Ogden,PHY,VA
4,A,15,Debbi Farrow,BIO,CHEM
4,A,16,Tama Weed,BAFS,GEOG
4,A,17,Lesia Velez,BAFS,PHY
4,A,18,Pasquale Mares,GEOG,VA
4,A,19,Hermina Dupre,BAFS,ECON
4,A,20,Reba Townes,BAFS,PHY
4,A,21,Sean Barclay,BAFS,ECON
4,A,22,Mathilda Markley,CHEM,BAFS
4,A,23,Buford Benedict,GEOG,HIST
4,A,24,Lashon Lundberg,CHIS,CLIT
4,A,25,Ardelia Stinson,PHY,ICT
4,A,26,Jacinto Mauldin,PHY,ICT
4,A,27,Deandre Newsome,CHIS,ICT
4,A,28,Oswaldo Gilmore,PHY,ICT
4,A,29,Charla Mccallister,CHIS,VA
4,A,30,Katia Roach,CHEM,PHY
4,A,31,Lane Becnel,BIO,GEOG
4,A,32,Refugio Griswold,ECON,GEOG
4,A,33,Lolita Costa,BAFS,ECON
4,A,34,Stacy Alicea,BAFS,ECON
4,A,35,Dayna Casper,BAFS,PHY
4,A,36,Marna Nabors,GEOG,HIST
4,B,1,Rosamaria Earle,BAFS,ECON
4,B,2,Joe Han,BIO,CHEM
4,B,3,Glenn Ely,BIO,CHIS
4,B,4,Morton Rinehart,CHIS,CLIT
4,B,5,Cherise Parrott,ECON,VA
4,B,6,Maryjane Stauffer,ECON,GEOG
4,B,7,Laurette Hanks,GEOG,HIST
4,B,8,Yevette Rosenthal,BIO,HIST
4,B,9,Kacy Dent,BIO,GEOG
4,B,10,Willia Spivey,CLIT,HIST
4,B,11,Enoch Ngo,CHIS,BAFS
4,B,12,Allyson Stoddard,CHIS,CLIT
4,B,13,Angelic Morley,BIO,PHY
4,B,14,Daysi Peachey,BAFS,HIST
4,B,15,Audrea Nixon,HIST,VA
4,B,16,Allen Cleveland,GEOG,HIST
4,B,17,Buster Mccaffrey,BAFS,ECON
4,B,18,Nakesha Trotter,GEOG,PHY
4,B,19,Theron Boykin,ECON,PHY
4,B,20,Genny Henning,CHEM,HIST
4,B,21,Apryl Felix,BIO,GEOG
4,B,22,Dorla Weatherford,ECON,PHY
4,B,23,Pearle Luther,BAFS,ECON
4,B,24,Roxana Locklear,GEOG,VA
4,B,25,Pia Oconner,BAFS,ECON
4,B,26,Vada Pogue,BAFS,HIST
4,B,27,Cori Mabe,CLIT,GEOG
4,B,28,Lera Rowan,CHIS,CLIT
4,B,29,Arla Hein,ECON,VA
4,B,30,Lashawna Foote,BAFS,ECON
4,B,31,Teodora Halstead,CLIT,ECON
4,B,32,Shirely Whitley,BAFS,ECON
4,B,33,Alex Hartley,PHY,VA
4,B,34,Jewel Domingo,CLIT,HIST
4,B,35,Edris Hodgson,BIO,GEOG
4,B,36,Cruz Betts,CHIS,PHY
4,C,1,Ashly Calderon,BIO,CHEM,GEOG
4,C,2,Gary Mosley,BIO,CHEM,HIST
4,C,3,Latoyia Broderick,CLIT,BAFS,HIST
4,C,4,Spring Sizemore,BIO,CHEM,VA
4,C,5,Otto Forte,BIO,CHEM,BAFS
4,C,6,Naoma Faison,BIO,CHEM,BAFS
4,C,7,Fredia Mattingly,CLIT,ECON,HIST
4,C,8,Mervin Caudill,BIO,CHEM,VA
4,C,9,Mackenzie Cardwell,CLIT,ECON,HIST
4,C,10,Lani Wu,BIO,BAFS,ICT
4,C,11,Lesha Fairley,CLIT,BAFS,HIST
4,C,12,Halley Packer,BIO,BAFS,ECON
4,C,13,Holli Blocker,BIO,BAFS,ECON
4,C,14,Nathanial Justice,BIO,GEOG,HIST
4,C,15,Altha Motley,BIO,ECON,VA
4,C,16,Eda Picard,ECON,GEOG,VA
4,C,17,Kourtney Ernst,BIO,CHEM,ECON
4,C,18,Lane Belton,CHEM,CLIT,HIST
4,C,19,Henry Bain,BIO,CHEM,BAFS
4,C,20,Denny Pollack,BIO,GEOG,HIST
4,C,21,Raphael Morse,BIO,CHEM,ECON
4,C,22,Dominque Harder,CHIS,CLIT,HIST
4,C,23,Dewitt Aleman,BIO,CHEM,HIST
4,C,24,Barabara Ferrell,BIO,CHEM,ECON
4,C,25,Chante Barlow,CHIS,CLIT,HIST
4,C,26,Loreen Irvine,BIO,GEOG,HIST
4,C,27,Shavonda Starkey,BIO,BAFS,ECON
4,C,28,Britt Cheng,CHEM,BAFS,VA
4,C,29,Misti Coburn,BIO,CHIS,HIST
4,C,30,Tereasa Barney,GEOG,HIST,VA
4,C,31,Jazmin Shannon,CHIS,CLIT,HIST
4,C,32,Cuc Wilke,BIO,CHEM,HIST
4,C,33,Fredia Landrum,BIO,CHEM,CLIT
4,C,34,Katina Nielson,BIO,CHEM,HIST
4,C,35,Claudine Cote,GEOG,HIST,VA
4,C,36,Gia Cranford,BIO,GEOG,HIST
4,D,1,Joanie Asher,BIO,CHEM,PHY
4,D,2,Hilma Robb,BIO,CHEM,GEOG
4,D,3,Meridith Gruber,CHEM,ECON,PHY
4,D,4,Earle Dortch,CHEM,CLIT,HIST
4,D,5,Jerrold Orosco,BIO,CHEM,PHY
4,D,6,Adrien Elmore,CHEM,BAFS,PHY
4,D,7,Wes Rainey,BIO,CHEM,BAFS
4,D,8,Na Alley,CHEM,GEOG,PHY
4,D,9,Theresia Beebe,BIO,CHEM,HIST
4,D,10,Young Ogden,BIO,CHEM,PHY
4,D,11,Damian Spears,CHEM,PHY,VA
4,D,12,Maryrose Shuman,BIO,BAFS,PHY
4,D,13,Vella Spear,CHEM,GEOG,PHY
4,D,14,Jada Avery,BIO,CHEM,HIST
4,D,15,Lorina Charlton,BIO,CHEM,PHY
4,D,16,Troy Pulley,CHEM,ECON,PHY
4,D,17,Mila Rosas,BIO,CHEM,HIST
4,D,18,Stephany Richter,BIO,CHEM,GEOG
4,D,19,Nam Billiot,CHEM,BAFS,ECON
4,D,20,Mikki Busch,CHEM,ECON,PHY
4,D,21,Phyliss Grayson,BIO,BAFS,GEOG
4,D,22,Marielle Frasier,BIO,CHEM,CLIT
4,D,23,Judie Jolley,BIO,CHEM,BAFS
4,D,24,Rhett Mcginnis,BIO,GEOG,HIST
4,D,25,Kia Guenther,BIO,BAFS,ICT
